Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Size_KB,Train_time_s,Conversion_time_s,Inference_time_s,Dataset
KNN_Reg,2279.53842,358.71978,3432.03105,713.16973,0.78158,0.06164,49.56543,0.00095,0.0,0.00069,AUTOMOBILE
MLP_Reg,1810.37661,239.70645,2555.81303,338.10832,0.86248,0.08337,64.53516,0.32769,0.0,0.00014,AUTOMOBILE
RandomForest_Reg,1490.5381,280.57093,2196.23381,540.6535,0.90958,0.03405,232.02148,0.02919,0.0,0.01399,AUTOMOBILE
DecisionTree_Reg,36.43437,0.75757,59.48442,1.60501,0.89224,0.00638,125.98535,0.02225,0.0,5e-05,BIKE SHARING HOURLY
LinearRegression_Reg,106.01995,1.5786,141.87515,2.60373,0.38781,0.00885,1.22852,0.00401,0.0,0.00013,BIKE SHARING HOURLY
KNN_Reg,67.51863,1.50186,103.00926,2.35689,0.67717,0.01139,2231.62598,0.01234,0.0,0.00041,BIKE SHARING HOURLY
MLP_Reg,33.42381,2.67768,49.32503,2.62039,0.92571,0.00905,25.17773,4.96919,0.0,0.00015,BIKE SHARING HOURLY
RandomForest_Reg,59.4831,1.38191,88.25182,2.29568,0.76308,0.00834,2195.91895,0.03877,0.0,0.014,BIKE SHARING HOURLY
DecisionTree_Reg,0.12469,0.00852,0.19295,0.0114,0.30799,0.07218,54.96094,0.04078,0.0,5e-05,COMMUNITIES AND CRIME
LinearRegression_Reg,0.09705,0.00345,0.13709,0.00761,0.65104,0.03065,3.99316,0.03934,0.0,0.00019,COMMUNITIES AND CRIME
KNN_Reg,0.10035,0.004,0.14753,0.00792,0.59557,0.03811,632.58887,0.00186,0.0,0.00087,COMMUNITIES AND CRIME
MLP_Reg,0.10934,0.00604,0.15412,0.00691,0.55782,0.04564,69.17773,0.09599,0.0,0.00015,COMMUNITIES AND CRIME
RandomForest_Reg,0.09592,0.00456,0.13918,0.0087,0.64034,0.03449,923.1748,0.03024,0.0,0.01401,COMMUNITIES AND CRIME
DecisionTree_Reg,0.06009,0.01101,0.24783,0.02385,0.98418,0.00316,13.89551,0.00384,0.0,5e-05,OBESITY LEVELS
LinearRegression_Reg,0.34804,0.06326,0.73932,1.10703,0.5608,1.45355,1.69727,0.00209,0.0,0.00015,OBESITY LEVELS
KNN_Reg,0.31648,0.0192,0.6776,0.03473,0.88298,0.00994,186.2168,0.00124,0.0,0.00078,OBESITY LEVELS
MLP_Reg,0.19874,0.01311,0.314,0.02669,0.97471,0.00419,31.43555,0.25534,0.0,0.00014,OBESITY LEVELS
RandomForest_Reg,0.25872,0.0184,0.39354,0.02827,0.96036,0.00571,505.90527,0.02967,0.0,0.01402,OBESITY LEVELS
DecisionTree_Reg,5.98452,0.63959,9.41383,1.67595,0.49584,0.14068,27.67969,0.00113,0.0,6e-05,REAL ESTATE VALUATION
LinearRegression_Reg,6.23994,0.68009,8.76055,1.66559,0.57181,0.08286,1.04102,0.00126,0.0,0.00013,REAL ESTATE VALUATION
KNN_Reg,5.54597,0.49943,8.37055,1.60144,0.60493,0.0948,30.65625,0.001,0.0,0.00038,REAL ESTATE VALUATION
MLP_Reg,5.31513,0.55027,7.78764,1.66645,0.65777,0.09484,21.96289,0.14215,0.0,0.00014,REAL ESTATE VALUATION
RandomForest_Reg,4.65125,0.53214,7.17545,1.64306,0.71083,0.08152,433.4834,0.02959,0.0,0.01402,REAL ESTATE VALUATION
DecisionTree_Reg,1.14902,0.1943,2.12017,0.43137,0.76874,0.10147,18.25488,0.0019,0.0,6e-05,STUDENT PERFORMANCE
LinearRegression_Reg,1.36978,0.12841,2.0399,0.22036,0.79571,0.042,2.6748,0.00191,0.0,0.00014,STUDENT PERFORMANCE
KNN_Reg,2.84957,0.13443,3.74058,0.2418,0.31862,0.08464,75.15527,0.001,0.0,0.00127,STUDENT PERFORMANCE
MLP_Reg,1.96351,0.19776,2.63539,0.24012,0.65802,0.0715,48.24414,0.09221,0.0,0.00015,STUDENT PERFORMANCE
RandomForest_Reg,1.68986,0.16733,2.39924,0.28478,0.71844,0.05865,347.50879,0.02986,0.0,0.01403,STUDENT PERFORMANCE
DecisionTree_Reg,0.56189,0.01879,0.78546,0.02397,0.21155,0.04026,47.22656,0.01212,0.0,5e-05,WINE QUALITY
LinearRegression_Reg,0.58567,0.0165,0.75393,0.02212,0.27424,0.01781,1.19727,0.00207,0.0,0.00016,WINE QUALITY
KNN_Reg,0.40591,0.01559,0.63943,0.02456,0.47764,0.02852,604.54004,0.00369,0.0,0.00044,WINE QUALITY
MLP_Reg,0.55812,0.01777,0.71879,0.02189,0.33979,0.03235,23.04004,0.92513,0.0,0.00014,WINE QUALITY
RandomForest_Reg,0.51229,0.01451,0.66104,0.02011,0.44201,0.01672,830.22168,0.02985,0.0,0.01402,WINE QUALITY
